Site No	Site Name	Service	Class	Modulation	Area Served	Commenced Date
2058	Littleton	Seven Digital Television	C	COFDM	Lithgow	11/10/2021 7:00
2070	Mt Gibraltar WIN	Seven Digital Television	C	COFDM	Bowral/Mittagong	11/10/2021 7:00
2090	Cambewarra Lookout	Seven Digital Television	D	COFDM	Nowra North	11/10/2021 7:00
2093	Garlands Hill	Seven Digital Television	D	COFDM	Portland/Wallerawang	11/10/2021 7:00
2099	Stanwell Park WIN	Seven Digital Television	D	COFDM	Stanwell Park	11/10/2021 7:00
2110	Little Forest Trig	Seven Digital Television	B	COFDM	Ulladulla	11/10/2021 7:00
2119	Vale Of Clwydd	Seven Digital Television	D	COFDM	Lithgow East	11/10/2021 7:00
2159	Bellevue Hill WIN	Seven Digital Television	D	COFDM	Cowra	11/10/2021 7:00
2160	Falls Hill	Seven Digital Television	E	COFDM	Oberon	11/10/2021 7:00
2170	Bathurst East WIN	Seven Digital Television	C	COFDM	Bathurst	11/10/2021 7:00
2601	Endicotts Hill WIN	Seven Digital Television	D	COFDM	Mudgee	11/10/2021 7:00
2609	Knights Hill WIN	Seven Digital Television	A	COFDM	Illawarra	11/10/2021 7:00
2612	Gaanha bula Mt Canobolas Seven	Seven Digital Television	B	COFDM	Orange	11/10/2021 7:00
2621	Hospital Hill Condobolin	Seven Digital Television	D	COFDM	Condobolin	11/10/2021 7:00
2049	Mt Cumbermelon	WIN Digital Television	D	COFDM	Kandos	11/10/2021 7:00
2058	Littleton	WIN Digital Television	C	COFDM	Lithgow	11/10/2021 7:00
2099	Stanwell Park WIN	WIN Digital Television	D	COFDM	Stanwell Park	11/10/2021 7:00
2119	Vale Of Clwydd	WIN Digital Television	D	COFDM	Lithgow East	11/10/2021 7:00
2159	Bellevue Hill WIN	WIN Digital Television	D	COFDM	Cowra	11/10/2021 7:00
2170	Bathurst East WIN	WIN Digital Television	C	COFDM	Bathurst	11/10/2021 7:00
2052	Knights Hill	ABC NEWS on radio	A	FM	Illawarra	01/07/2017 0:00
2058	Littleton	ABC NEWS on radio	D	FM	Lithgow	01/07/2017 0:00
2067	Gaanha bula Mt Canobolas	ABC NEWS on radio	B	FM	Central Tablelands	01/07/2017 0:00
2078	Mt Panorama RT	ABC NEWS on radio	C	FM	Bathurst	01/07/2017 0:00
2083	Endicotts Hill	ABC NEWS on radio	D	FM	Mudgee	01/07/2017 0:00
2040	Gore Hill	ABC Triple J	A	FM	Sydney	30/06/1980 0:00
2052	Knights Hill	ABC Triple J	B	FM	Illawarra	08/01/1995 1:00
2060	Liverpool MF	ABC NEWS on radio	A	AM	Sydney	18/08/1988 23:00
2067	Gaanha bula Mt Canobolas	ABC Triple J	B	FM	Central Tablelands	30/12/1994 1:00
